title,link,date
Book: The War of Art,https://www.goodreads.com/book/show/1319.The_War_of_Art,2021/07/18
Book: The Now Habit,https://www.goodreads.com/book/show/95708.The_Now_Habit,2021/07/18
Book: Daily Rituals,https://www.goodreads.com/book/show/15799151-daily-rituals,2021/07/18
Generating JSON Directly from Postgres,https://blog.crunchydata.com/blog/generating-json-directly-from-postgres,2021/07/16
Against SQL,https://scattered-thoughts.net/writing/against-sql/,2021/07/16
F# is the best coding language today,https://danielbmarkham.com/fsharp-is-the-best-programming-language-today/,2021/07/16
Umami,https://umami.is/,2021/06/21
Obsidian,https://obsidian.md/,2021/06/21
Working in Godot with SQLite and C#,https://unintuitive.net/code/working-in-godot-with-sqlite-and-c/,2021/06/21
How to Get Rich,https://nav.al/rich,2021/06/21
Docker Compose Production Best Practices,https://nickjanetakis.com/blog/best-practices-around-production-ready-web-apps-with-docker-compose,2021/06/21
Use Google like a pro,https://markodenic.com/use-google-like-a-pro/,2021/04/27
Functorio,https://bartoszmilewski.com/2021/02/16/functorio/,2021/02/16
Code Browser,https://tibleiz.net/code-browser/index.html,2021/02/09
Preql,https://github.com/erezsh/Preql,2021/02/09
Are You User Friendly?,https://www.over-yonder.net/~fullermd/rants/userfriendly/1,2021/02/09
Complicated Haskell Words - Isomorphism,https://juliu.is/complicated-haskell-words-isomorphism/,2021/02/09
aria2,http://aria2.github.io/,2021/02/09
Redux vs. XState,https://stackoverflow.com/a/54521035/11754352,2021/02/09
Roam,https://roamresearch.com/,2021/02/09
Serverless SQLite,https://sql.lspgn.workers.dev/,2021/01/21
Building a Desktop App using Svelte and Electron,https://joshuaj.co.uk/blog/building-desktop-app-svelte-electron,~2020
C++20 Concepts: Testing constrained functions,https://andreasfertig.blog/2020/08/cpp20-concepts-testing-constrained-functions/,~2020
NOAA Satellite Signals With a PVC QFH Antenna and Laptop,https://www.instructables.com/NOAA-Satellite-Signals-with-a-PVC-QFH-Antenna-and-/,~2020
Typeclassopedia,https://wiki.haskell.org/Typeclassopedia,~2020
Org Mode Reference Card,https://orgmode.org/orgcard.pdf,~2020
Getting Started with Org Mode,https://www.youtube.com/watch?v=SzA2YODtgK4,~2020
prefers-color-scheme,https://developer.mozilla.org/en-US/docs/Web/CSS/@media/prefers-color-scheme,~2020
OWASP Authentication Cheat Sheet,https://cheatsheetseries.owasp.org/cheatsheets/Authentication_Cheat_Sheet.html,~2020
OWASP Session Management Cheat Sheet,https://cheatsheetseries.owasp.org/cheatsheets/Session_Management_Cheat_Sheet.html,~2020
Lambda? You Keep Using that Letter,https://www.youtube.com/watch?v=Y7StjYhXvpE,~2020
To compute a constant of calculus,http://blogs.perl.org/users/damian_conway/2019/09/to-compute-a-constant-of-calculusa-treatise-on-multiple-ways.html,~2020
